Fx Femp FmodA FmodB
0.00000 0.00000 0.00000 0.00000
0.00007 0.00026 0.00025 0.00026
0.01853 0.06227 0.06084 0.06959
0.03707 0.11683 0.11477 0.13603
0.05560 0.16727 0.16427 0.19924
0.07413 0.21384 0.21026 0.25910
0.09260 0.25656 0.25309 0.31531
0.11113 0.29722 0.29355 0.36843
0.12967 0.33402 0.33180 0.41833
0.14820 0.36927 0.36801 0.46503
0.16667 0.40427 0.40249 0.50891
0.18520 0.43361 0.43542 0.55006
0.20373 0.46603 0.46677 0.58837
0.22227 0.49460 0.49663 0.62398
0.24073 0.52213 0.52508 0.65703
0.25927 0.54967 0.55229 0.68773
0.27780 0.57823 0.57830 0.71618
0.29633 0.60499 0.60321 0.74260
0.31480 0.63047 0.62695 0.76694
0.33333 0.65414 0.64969 0.78942
0.35187 0.67627 0.67133 0.80995
0.37040 0.69738 0.69197 0.82877
0.38887 0.71230 0.71154 0.84586
0.40740 0.73443 0.73032 0.86162
0.42593 0.75270 0.74818 0.87593
0.44447 0.76788 0.76522 0.88901
0.46293 0.78410 0.78133 0.90079
0.48147 0.80108 0.79671 0.91153
0.50000 0.81652 0.81129 0.92119
0.51853 0.83067 0.82510 0.92988
0.53707 0.84483 0.83824 0.93777
0.55553 0.85589 0.85071 0.94491
0.57407 0.86927 0.86260 0.95139
0.59260 0.87957 0.87390 0.95726
0.61113 0.89269 0.88467 0.96260
0.62960 0.90196 0.89490 0.96744
0.64813 0.91199 0.90463 0.97182
0.66667 0.92023 0.91380 0.97572
0.68520 0.92820 0.92242 0.97918
0.70367 0.93464 0.93052 0.98226
0.72220 0.94159 0.93818 0.98500
0.74073 0.94725 0.94536 0.98743
0.75927 0.95445 0.95211 0.98958
0.77773 0.95960 0.95839 0.99146
0.79627 0.96732 0.96424 0.99310
0.81480 0.97247 0.96965 0.99451
0.83333 0.97787 0.97465 0.99572
0.85180 0.98199 0.97920 0.99674
0.87033 0.98739 0.98337 0.99760
0.88887 0.99074 0.98711 0.99830
0.90740 0.99382 0.99044 0.99886
0.92587 0.99563 0.99334 0.99930
0.94440 0.99794 0.99579 0.99962
0.96293 0.99897 0.99778 0.99984
0.98147 0.99974 0.99924 0.99996
1.00000 1.00000 1.00000 1.00000
