Fx FxD
0.00000 0.00000
0.00013 0.00048
0.01275 0.03831
0.02538 0.07420
0.03800 0.10524
0.05075 0.13579
0.06338 0.16392
0.07600 0.19108
0.08862 0.21775
0.10138 0.24248
0.11400 0.26867
0.12662 0.29243
0.13925 0.31523
0.15200 0.34142
0.16462 0.36760
0.17725 0.38458
0.18987 0.40495
0.20262 0.42677
0.21525 0.44229
0.22787 0.46314
0.24050 0.48109
0.25325 0.49806
0.26587 0.51794
0.27850 0.53589
0.29113 0.55480
0.30388 0.56935
0.31650 0.58390
0.32913 0.59942
0.34175 0.61542
0.35450 0.62900
0.36712 0.64258
0.37975 0.65470
0.39237 0.67168
0.40513 0.68332
0.41775 0.69302
0.43038 0.70757
0.44300 0.71775
0.45575 0.72939
0.46837 0.74151
0.48100 0.75315
0.49362 0.76625
0.50638 0.77740
0.51900 0.78952
0.53163 0.79777
0.54425 0.80504
0.55700 0.81280
0.56963 0.82250
0.58225 0.83269
0.59488 0.84530
0.60762 0.85500
0.62025 0.86324
0.63287 0.86857
0.64550 0.87391
0.65825 0.88167
0.67087 0.89088
0.68350 0.89767
0.69612 0.90252
0.70888 0.90786
0.72150 0.91077
0.73413 0.91707
0.74675 0.92241
0.75950 0.93162
0.77212 0.93986
0.78475 0.94762
0.79737 0.95587
0.81012 0.96072
0.82275 0.96508
0.83537 0.96799
0.84800 0.97042
0.86075 0.97527
0.87338 0.97721
0.88600 0.98109
0.89863 0.98400
0.91138 0.98691
0.92400 0.99030
0.93663 0.99127
0.94925 0.99418
0.96200 0.99661
0.97462 0.99758
0.98725 0.99903
1.00000 1.00000
