x fD fG fX
-2.52827 0.00081 0.02141 0.01610
-2.44322 0.00143 0.02726 0.02063
-2.35818 0.00221 0.03467 0.02635
-2.27314 0.00307 0.04357 0.03314
-2.18810 0.00402 0.05301 0.04034
-2.10306 0.00512 0.06206 0.04733
-2.01802 0.00653 0.07102 0.05437
-1.93298 0.00839 0.08137 0.06254
-1.84794 0.01090 0.09437 0.07280
-1.76289 0.01414 0.11013 0.08533
-1.67785 0.01806 0.12820 0.09980
-1.59281 0.02254 0.14832 0.11588
-1.50777 0.02755 0.17014 0.13330
-1.42273 0.03326 0.19291 0.15160
-1.33769 0.04004 0.21636 0.17069
-1.25265 0.04844 0.24109 0.19106
-1.16760 0.05924 0.26676 0.21259
-1.08256 0.07326 0.29082 0.23382
-0.99752 0.09071 0.31055 0.25316
-0.91248 0.11036 0.32605 0.27046
-0.82744 0.12974 0.34025 0.28676
-0.74240 0.14673 0.35618 0.30298
-0.65736 0.16159 0.37463 0.31966
-0.57231 0.17710 0.39398 0.33707
-0.48727 0.19628 0.41114 0.35446
-0.40223 0.22013 0.42299 0.36983
-0.31719 0.24727 0.42858 0.38159
-0.23215 0.27555 0.42990 0.39020
-0.14711 0.30325 0.42940 0.39712
-0.06207 0.32908 0.42694 0.40216
0.02297 0.35182 0.42023 0.40322
0.10802 0.37077 0.40774 0.39874
0.19306 0.38642 0.39012 0.38936
0.27810 0.40007 0.36916 0.37711
0.36314 0.41265 0.34645 0.36364
0.44818 0.42380 0.32299 0.34950
0.53322 0.43224 0.29956 0.33460
0.61826 0.43697 0.27678 0.31886
0.70331 0.43818 0.25480 0.30247
0.78835 0.43688 0.23321 0.28588
0.87339 0.43335 0.21143 0.26917
0.95843 0.42608 0.18920 0.25152
1.04347 0.41272 0.16675 0.23176
1.12851 0.39226 0.14492 0.20990
1.21355 0.36625 0.12484 0.18753
1.29860 0.33778 0.10723 0.16653
1.38364 0.30957 0.09202 0.14776
1.46868 0.28292 0.07846 0.13087
1.55372 0.25789 0.06603 0.11533
1.63876 0.23389 0.05492 0.10107
1.72380 0.21036 0.04557 0.08811
1.80884 0.18732 0.03782 0.07620
1.89388 0.16557 0.03107 0.06524
1.97893 0.14614 0.02497 0.05563
2.06397 0.12925 0.01966 0.04760
2.14901 0.11398 0.01532 0.04081
2.23405 0.09896 0.01193 0.03460
2.31909 0.08352 0.00942 0.02861
2.40413 0.06817 0.00766 0.02299
2.48917 0.05416 0.00636 0.01813
