x phat ptrue
-2.52827 0.01301 0.01661
-2.44322 0.01789 0.01821
-2.35818 0.02157 0.01996
-2.27314 0.02387 0.02187
-2.18810 0.02566 0.02396
-2.10306 0.02790 0.02625
-2.01802 0.03094 0.02875
-1.93298 0.03459 0.03148
-1.84794 0.03859 0.03447
-1.76289 0.04270 0.03772
-1.67785 0.04664 0.04126
-1.59281 0.05012 0.04513
-1.50777 0.05326 0.04933
-1.42273 0.05655 0.05391
-1.33769 0.06046 0.05889
-1.25265 0.06535 0.06429
-1.16760 0.07182 0.07015
-1.08256 0.08076 0.07650
-0.99752 0.09235 0.08338
-0.91248 0.10518 0.09081
-0.82744 0.11662 0.09884
-0.74240 0.12483 0.10749
-0.65736 0.13030 0.11680
-0.57231 0.13542 0.12680
-0.48727 0.14273 0.13752
-0.40223 0.15342 0.14900
-0.31719 0.16702 0.16126
-0.23215 0.18201 0.17431
-0.14711 0.19682 0.18819
-0.06207 0.21091 0.20290
0.02297 0.22489 0.21845
0.10802 0.23967 0.23484
0.19306 0.25580 0.25206
0.27810 0.27344 0.27010
0.36314 0.29249 0.28894
0.44818 0.31255 0.30853
0.53322 0.33296 0.32884
0.61826 0.35322 0.34980
0.70331 0.37340 0.37137
0.78835 0.39390 0.39345
0.87339 0.41496 0.41599
0.95843 0.43664 0.43888
1.04347 0.45900 0.46203
1.12851 0.48168 0.48535
1.21355 0.50340 0.50873
1.29860 0.52280 0.53207
1.38364 0.54002 0.55527
1.46868 0.55723 0.57824
1.55372 0.57635 0.60087
1.63876 0.59645 0.62308
1.72380 0.61535 0.64478
1.80884 0.63365 0.66591
1.89388 0.65411 0.68639
1.97893 0.67711 0.70616
2.06397 0.69980 0.72519
2.14901 0.71984 0.74344
2.23405 0.73718 0.76087
2.31909 0.75237 0.77747
2.40413 0.76419 0.79324
2.48917 0.76989 0.80816
