x woe_kde woe_true
-2.52827 -3.27175 -3.02340
-2.44322 -2.94653 -2.92985
-2.35818 -2.75511 -2.83631
-2.27314 -2.65294 -2.74276
-2.18810 -2.58008 -2.64921
-2.10306 -2.49422 -2.55567
-2.01802 -2.38718 -2.46212
-1.93298 -2.27162 -2.36858
-1.84794 -2.15858 -2.27503
-1.76289 -2.05286 -2.18149
-1.67785 -1.96005 -2.08794
-1.59281 -1.88431 -1.99440
-1.50777 -1.82076 -1.90085
-1.42273 -1.75781 -1.80731
-1.33769 -1.68706 -1.71376
-1.25265 -1.60488 -1.62021
-1.16760 -1.50476 -1.52667
-1.08256 -1.37867 -1.43312
-0.99752 -1.23072 -1.33958
-0.91248 -1.08326 -1.24603
-0.82744 -0.96416 -1.15249
-0.74240 -0.88685 -1.05894
-0.65736 -0.84084 -0.96540
-0.57231 -0.79962 -0.87185
-0.48727 -0.73939 -0.77830
-0.40223 -0.65314 -0.68476
-0.31719 -0.54998 -0.59121
-0.23215 -0.44478 -0.49767
-0.14711 -0.34784 -0.40412
-0.06207 -0.26034 -0.31058
0.02297 -0.17767 -0.21703
0.10802 -0.09504 -0.12349
0.19306 -0.00953 -0.02994
0.27810 0.08042 0.06360
0.36314 0.17487 0.15715
0.44818 0.27163 0.25070
0.53322 0.36667 0.34424
0.61826 0.45665 0.43779
0.70331 0.54214 0.53133
0.78835 0.62773 0.62488
0.87339 0.71764 0.71842
0.95843 0.81182 0.81197
1.04347 0.90627 0.90551
1.12851 0.99574 0.99906
1.21355 1.07631 1.09261
1.29860 1.14737 1.18615
1.38364 1.21322 1.27970
1.46868 1.28260 1.37324
1.55372 1.36246 1.46679
1.63876 1.44899 1.56033
1.72380 1.52965 1.65388
1.80884 1.59992 1.74742
1.89388 1.67317 1.84097
1.97893 1.76678 1.93451
2.06397 1.88302 2.02806
2.14901 2.00683 2.12161
2.23405 2.11553 2.21515
2.31909 2.18271 2.30870
2.40413 2.18630 2.40224
2.48917 2.14239 2.49579
